Timestamp,Plate Number,Vehicle Model,Violation,Image Path
20250103_225929,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250103_225929.jpg
20250103_225931,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250103_225931.jpg
20250103_225935,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250103_225935.jpg
20250103_225937,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250103_225937.jpg
20250103_225940,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250103_225940.jpg
20250103_225942,UNKNOWN,Unknown Model,Helmet violation - 2 rider(s),violation_frames/frame_UNKNOWN_20250103_225942.jpg
20250103_225942,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250103_225942.jpg
20250103_225944,UNKNOWN,Unknown Model,Triple Riding Violation,violation_frames/frame_UNKNOWN_20250103_225944.jpg
20250103_225944,UNKNOWN,Unknown Model,Helmet violation - 2 rider(s),violation_frames/frame_UNKNOWN_20250103_225944.jpg
20250103_225946,UNKNOWN,Unknown Model,Helmet violation - 2 rider(s),violation_frames/frame_UNKNOWN_20250103_225946.jpg
20250103_225949,UNKNOWN,Unknown Model,Helmet violation - 2 rider(s),violation_frames/frame_UNKNOWN_20250103_225949.jpg
20250103_225950,UNKNOWN,Unknown Model,Triple Riding Violation,violation_frames/frame_UNKNOWN_20250103_225950.jpg
20250103_225953,UNKNOWN,Unknown Model,Helmet violation - 2 rider(s),violation_frames/frame_UNKNOWN_20250103_225953.jpg
20250104_154757,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250104_154757.jpg
20250104_205927,KL64H9512,TRIBER RXT PETROL MT 1.0L ECE,No violation,detected_vehicles/frame_KL64H9512_20250104_205927.jpg
20250104_205929,KL64H9517,X PULSE 200,No violation,detected_vehicles/frame_KL64H9517_20250104_205929.jpg
20250108_201055,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250108_201055.jpg
20250108_201059,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250108_201059.jpg
20250108_201101,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250108_201101.jpg
20250108_201103,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250108_201103.jpg
20250108_201105,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250108_201105.jpg
20250108_201106,UNKNOWN,Unknown Model,Helmet violation - 3 rider(s) & Triple riding violation - 4 riders,violation_frames/frame_UNKNOWN_20250108_201106.jpg
20250108_201106,UNKNOWN,Unknown Model,Helmet violation - 2 rider(s) & Triple riding violation - 3 riders,violation_frames/frame_UNKNOWN_20250108_201106.jpg
20250108_201107,UNKNOWN,Unknown Model,Helmet violation - 3 rider(s) & Triple riding violation - 4 riders,violation_frames/frame_UNKNOWN_20250108_201107.jpg
20250108_201107,UNKNOWN,Unknown Model,Helmet violation - 2 rider(s) & Triple riding violation - 3 riders,violation_frames/frame_UNKNOWN_20250108_201107.jpg
20250108_201110,UNKNOWN,Unknown Model,Helmet violation - 2 rider(s) & Triple riding violation - 3 riders,violation_frames/frame_UNKNOWN_20250108_201110.jpg
20250108_201111,UNKNOWN,Unknown Model,Helmet violation - 2 rider(s) & Triple riding violation - 3 riders,violation_frames/frame_UNKNOWN_20250108_201111.jpg
20250108_201111,UNKNOWN,Unknown Model,Helmet violation - 2 rider(s),violation_frames/frame_UNKNOWN_20250108_201111.jpg
20250108_201114,UNKNOWN,Unknown Model,Helmet violation - 1 rider(s),violation_frames/frame_UNKNOWN_20250108_201114.jpg
